table_catalog,table_schema,table_name,column_name,data_type,is_nullable
angad_kumar91,fhir_healthcare_analytics_bronze,fhir_bundle,entry,ARRAY,YES
angad_kumar91,fhir_healthcare_analytics_bronze,fhir_bundle,resourceType,STRING,YES
angad_kumar91,fhir_healthcare_analytics_bronze,fhir_bundle,type,STRING,YES
angad_kumar91,fhir_healthcare_analytics_bronze,fhir_bundle,source_file,STRING,YES
angad_kumar91,fhir_healthcare_analytics_bronze,fhir_bundle,ingest_time,TIMESTAMP,YES
angad_kumar91,fhir_healthcare_analytics_bronze,fhir_entry_view,source_file,STRING,YES
angad_kumar91,fhir_healthcare_analytics_bronze,fhir_entry_view,ingest_time,TIMESTAMP,YES
angad_kumar91,fhir_healthcare_analytics_bronze,fhir_entry_view,entry,STRUCT,YES
angad_kumar91,fhir_healthcare_analytics_gold,cost_analysis,encounter_id,STRING,YES
angad_kumar91,fhir_healthcare_analytics_gold,cost_analysis,patient_id,STRING,YES
angad_kumar91,fhir_healthcare_analytics_gold,cost_analysis,total_cost,DOUBLE,YES
angad_kumar91,fhir_healthcare_analytics_gold,disease_patterns,diagnosis,STRING,YES
angad_kumar91,fhir_healthcare_analytics_gold,disease_patterns,patient_count,LONG,YES
angad_kumar91,fhir_healthcare_analytics_gold,disease_patterns,encounter_count,LONG,YES
angad_kumar91,fhir_healthcare_analytics_gold,immunization_coverage,vaccine_name,STRING,YES
angad_kumar91,fhir_healthcare_analytics_gold,immunization_coverage,vaccinated_patients,LONG,YES
angad_kumar91,fhir_healthcare_analytics_gold,medication_trends,medication_name,STRING,YES
angad_kumar91,fhir_healthcare_analytics_gold,medication_trends,prescription_count,LONG,YES
angad_kumar91,fhir_healthcare_analytics_gold,patient_admissions,admission_date,DATE,YES
angad_kumar91,fhir_healthcare_analytics_gold,patient_admissions,total_admissions,LONG,YES
angad_kumar91,fhir_healthcare_analytics_gold,patient_admissions,avg_length_of_stay,DOUBLE,YES
angad_kumar91,fhir_healthcare_analytics_gold,patient_encounter_summary,patient_id,STRING,YES
angad_kumar91,fhir_healthcare_analytics_gold,patient_encounter_summary,encounter_id,STRING,YES
angad_kumar91,fhir_healthcare_analytics_gold,patient_encounter_summary,admit_time,STRING,YES
angad_kumar91,fhir_healthcare_analytics_gold,patient_encounter_summary,discharge_time,STRING,YES
angad_kumar91,fhir_healthcare_analytics_gold,patient_encounter_summary,encounter_status,STRING,YES
angad_kumar91,fhir_healthcare_analytics_gold,patient_encounter_summary,encounter_type,STRING,YES
angad_kumar91,fhir_healthcare_analytics_gold,patient_encounter_summary,diagnosis,STRING,YES
angad_kumar91,fhir_healthcare_analytics_gold,patient_encounter_summary,observation_name,STRING,YES
angad_kumar91,fhir_healthcare_analytics_gold,patient_encounter_summary,observation_value,DOUBLE,YES
angad_kumar91,fhir_healthcare_analytics_gold,patient_encounter_summary,observation_unit,STRING,YES
angad_kumar91,fhir_healthcare_analytics_gold,patient_encounter_summary,procedure_name,STRING,YES
angad_kumar91,fhir_healthcare_analytics_gold,patient_encounter_summary,procedure_status,STRING,YES
angad_kumar91,fhir_healthcare_analytics_gold,patient_encounter_summary,performed_time,STRING,YES
angad_kumar91,fhir_healthcare_analytics_gold,patient_encounter_summary,medication_name,STRING,YES
angad_kumar91,fhir_healthcare_analytics_gold,patient_encounter_summary,medication_status,STRING,YES
angad_kumar91,fhir_healthcare_analytics_gold,patient_encounter_summary,prescribed_date,STRING,YES
angad_kumar91,fhir_healthcare_analytics_gold,patient_encounter_summary,vaccine_name,STRING,YES
angad_kumar91,fhir_healthcare_analytics_gold,patient_encounter_summary,immunization_status,STRING,YES
angad_kumar91,fhir_healthcare_analytics_gold,patient_encounter_summary,vaccination_date,STRING,YES
angad_kumar91,fhir_healthcare_analytics_gold,patient_encounter_summary,report_name,STRING,YES
angad_kumar91,fhir_healthcare_analytics_gold,patient_encounter_summary,report_status,STRING,YES
angad_kumar91,fhir_healthcare_analytics_gold,patient_encounter_summary,report_time,STRING,YES
angad_kumar91,fhir_healthcare_analytics_gold,patient_encounter_summary,claim_type,STRING,YES
angad_kumar91,fhir_healthcare_analytics_gold,patient_encounter_summary,total_amount,DOUBLE,YES
angad_kumar91,fhir_healthcare_analytics_gold,patient_encounter_summary,claim_status,STRING,YES
angad_kumar91,fhir_healthcare_analytics_gold,procedure_trends,procedure_name,STRING,YES
angad_kumar91,fhir_healthcare_analytics_gold,procedure_trends,procedure_count,LONG,YES
angad_kumar91,fhir_healthcare_analytics_silver,condition,condition_id,STRING,YES
angad_kumar91,fhir_healthcare_analytics_silver,condition,patient_id,STRING,YES
angad_kumar91,fhir_healthcare_analytics_silver,condition,encounter_id,STRING,YES
angad_kumar91,fhir_healthcare_analytics_silver,condition,diagnosis,STRING,YES
angad_kumar91,fhir_healthcare_analytics_silver,condition,clinical_status,STRING,YES
